"date","cluster","rain","snow","thunderstorm","visibility","crosswind","scheduled"
"03/16/2014",12,0,0,0,10,11.7,943
"03/17/2014",1,0,0,0,10,8.2,1076
"03/18/2014",1,0,0,0,10,6.1,1051
"03/19/2014",6,0,0,0,10,9.2,1057
"03/20/2014",13,1,0,0,5,10.8,1072
"03/21/2014",8,0,0,0,10,14.9,1079
"03/22/2014",2,0,0,0,10,10.5,862
"03/23/2014",12,0,0,0,10,11.1,949
"03/24/2014",10,0,0,0,10,14.4,1076
"03/25/2014",1,0,0,0,10,7.3,1047
"03/26/2014",10,0,1,0,9.7,16.6,1058
"03/27/2014",8,0,0,0,10,12.9,1072
"03/28/2014",7,1,0,0,10,8.2,1079
"03/29/2014",7,1,0,0,7.9,7,858
"03/30/2014",11,1,0,0,3,10.8,960
"03/31/2014",11,1,0,0,5.2,19.9,1085
"04/01/2014",3,0,0,0,10,6.8,1032
"04/02/2014",3,0,0,0,10,4.4,1054
"04/03/2014",3,0,0,0,10,4,1069
"04/04/2014",3,1,0,0,10,9.1,1077
"04/05/2014",13,1,0,0,5.5,13.3,863
"04/06/2014",8,0,0,0,10,8.7,964
"04/07/2014",3,0,0,0,10,5.4,1075
"04/08/2014",13,1,0,0,4.1,12.5,1043
"04/09/2014",10,0,0,0,10,13.1,1055
"04/10/2014",3,0,0,0,10,11.6,1072
"04/11/2014",3,0,0,0,10,13.1,1080
"04/12/2014",12,0,0,0,10,6.3,867
"04/13/2014",12,0,0,0,10,7.2,965
"04/14/2014",18,0,0,0,10,14,1075
"04/15/2014",5,1,0,0,4,19.2,1045
"04/16/2014",15,1,1,0,8,18,1052
"04/17/2014",3,0,0,0,10,9.8,1074
"04/18/2014",3,0,0,0,10,6.6,1071
"04/19/2014",12,0,0,0,10,7.9,853
"04/20/2014",12,0,0,0,10,7.7,920
"04/21/2014",3,0,0,0,10,4.7,1076
"04/22/2014",3,0,0,0,10,6.6,1054
"04/23/2014",10,0,0,0,10,13.9,1056
"04/24/2014",10,0,0,0,10,19,1078
"04/25/2014",3,0,0,0,10,12.5,1080
"04/26/2014",12,1,0,0,8.8,9.2,873
"04/27/2014",19,0,0,1,10,10.5,967
"04/28/2014",3,0,0,0,10,6.8,1078
"04/29/2014",3,0,0,0,10,11.2,1049
"04/30/2014",16,1,0,0,3.4,15.7,1059
"05/01/2014",11,1,0,0,3.3,8.9,1075
"05/02/2014",3,0,0,0,10,9.9,1074
"05/03/2014",2,0,0,0,10,12.1,860
"05/04/2014",18,0,0,0,10,14.4,968
"05/05/2014",10,0,0,0,10,14.8,1073
"05/06/2014",3,0,0,0,10,9,1039
